item,itemLabel,startDate,endDate,psid
Q12809416,Enver Kuray,1962-10-12,1966-01-14,Q12809416-B1FFD643-8962-4E07-BA53-9B3B6466E8FC
Q1917377,Vecdi Gönül,1979-12-04,1980-10-17,Q1917377-C53FF1E7-7845-4A2D-8A0A-75FB5CC96213
Q26702120,Tekin Alp,1978-02-10,1979-12-05,Q26702120-966AFC6E-995F-4AA5-BD97-6152CB3AF23C
Q26702120,Tekin Alp,1968-06-06,1968-10-19,Q26702120-F0A007D7-28BC-4729-851A-74F71348C169
Q6013690,Ömer Naci Bozkurt,1968-10-19,1970-05-20,Q6013690-3B6D60E6-AA5D-4130-A6E0-1068ADE2F779
Q6013690,Ömer Naci Bozkurt,1970-05-20,1970-07-17,Q6013690-46751589-2AAF-4FBF-AD3A-2536C2CB6DBE
Q6013690,Ömer Naci Bozkurt,1975-06-22,1975-09-09,Q6013690-F7457BDD-1066-4A33-9CAE-4D90C554DFCC
Q6020876,Ali Rıza Yaradanakul,1970-07-17,1971-06-18,Q6020876-2CAF82E9-EA1B-430A-B485-636C87D7FE7C
Q6024814,Şerif Tüten,1971-06-18,1975-06-02,Q6024814-7B2DD6D2-1B6F-49CD-A5F0-C55B713B3638
Q6026452,Necati İlter,1950-08-24,1952-01-18,Q6026452-1FA396E6-7B2E-46DD-A211-1A48CB6F9665
Q6027159,Vasip Şahin,2018-11-06,,Q6027159-4E8B54C4-3A39-44DC-9E22-47106FB9BBE2
Q6027291,İrfan Baştuğ,1960-06-08,1960-09-11,Q6027291-B6774463-C35C-4FAF-A906-24E6E4616C5D
Q6028622,Erdoğan Şahinoğlu,1991-07-17,1999-09-30,Q6028622-963A954E-F8AC-4AC9-AC69-230C8129398A
Q6034799,Kemal Önal,2004-09-16,2010-05-11,Q6034799-A2A03675-C5F1-4545-9F54-7B3590F1BF4B
Q6035178,Ercan Topaca,2016-09-20,2018-11-05,Q6035178-B909F0F2-3052-47D4-9826-BB9744445CCF
Q6036140,Yahya Gür,1999-10-01,2004-07-01,Q6036140-A46040C0-0BB1-451F-ABD4-27CAF71EA089
Q6036645,Durmuş Yalçın,1976-01-24,1978-02-10,Q6036645-79B2FDD4-6351-4E17-B26D-249CA194C14E
Q6039170,Saffet Arıkan Bedük,1988-01-14,1991-07-17,Q6039170-66CB6759-F6B5-49F8-A49E-685C71DF10EA
Q6040735,Cemal Göktan,1955-09-14,1957-10-09,Q6040735-2686D403-8337-48F6-977F-A5AC2A4DCD74
Q6053688,Osman Sabri Adal,1946-08-03,1946-11-12,Q6053688-384729B5-ACE3-4E78-BDF4-34A467E30751
Q6054330,Mehmet Kılıçlar,2014-09-22,2016-09-20,Q6054330-BCB51FF4-91D5-445B-8840-6428DCD1EB15
Q6054759,Ali Celalettin Coşkun,1966-01-14,1968-06-10,Q6054759-2F8087D7-B6B6-452B-B1D0-518A5EE6D858
Q6055822,Mustafa Gönül,1975-09-09,1976-01-24,Q6055822-95D2FEBE-7450-4E20-85C8-C73ACF6F72B5
Q6055822,Mustafa Gönül,1980-10-27,1984-02-06,Q6055822-B4AD26A8-3E75-4022-9AC1-803D0F4461A2
Q6068977,Alaaddin Yüksel,2010-05-27,2014-09-15,Q6068977-2DE19E61-8D58-44F2-A4DD-54B47BA386A4
Q6088814,Cahit Bayar,1984-02-06,1988-01-14,Q6088814-FD29D9F5-A327-462C-A055-E3F999E2CAAD
Q6095075,Mehmet Avni Doğan,1948-02-09,1950-05-22,Q6095075-B99C7D07-972E-4994-85CE-620B6D83E11F
Q6447444,İzzettin Çağpar,1946-12-02,1948-02-09,Q6447444-8DF185B9-D504-4CA6-890A-884DFC421414
Q6455000,İhsan Orgun,1960-09-24,1961-04-08,Q6455000-A8207CA6-3891-445D-A057-271254C8FFD7
Q6583216,Nuri Teoman,1961-04-12,1962-10-12,Q6583216-B9099A57-610D-4FF9-BFBC-69B775A4FCA9
Q6583270,Nevzat Tandoğan,1929-06-22,1946-07-09,Q6583270-B020CB66-F19B-4152-A8BB-CA56A5FFF8CC
Q6621065,Kemal Aygün,1957-10-09,1958-07-17,Q6621065-6B72DCE2-5744-4420-86B2-9E5EF2087BE1
Q6621065,Kemal Aygün,1952-04-12,1955-09-12,Q6621065-7C217F73-6E21-4756-8888-6D2A49B520F2
Q6960356,Abdullah Dilaver Argun,1958-07-17,1960-05-27,Q6960356-80423865-421D-4A0C-9FD4-55146971A5DB
